"Ranking","Rangking.Provinsi","Nilai.Total","NPSN","Sekolah","Provinsi","Kab.Kota","Jenis"
202,6,549.634,"10304887","SMA NEGERI AGAM CENDEKIA","SUMATERA BARAT","KAB. AGAM","SMA"
203,3,549.499,"10507942","MAN INSAN CENDEKIA JAMBI","JAMBI","KAB. MUARO JAMBI","MA"
204,28,549.435,"20533635","SMAS KATOLIK ST ALBERTUS","JAWA TIMUR","KOTA MALANG","SMA"
205,4,549.407,"10404019","SMA NEGERI 8 PEKANBARU","RIAU","KOTA PEKANBARU","SMA"
206,3,549.272,"10648016","SMAN SUMATERA SELATAN","SUMATERA SELATAN","KOTA PALEMBANG","SMA"
207,4,549.163,"10609704","SMA XAVERIUS 01 PALEMBANG","SUMATERA SELATAN","KOTA PALEMBANG","SMA"
208,7,549.02,"10307523","SMAN 1 BUKITTINGGI","SUMATERA BARAT","KOTA BUKITTINGGI","SMA"
209,35,548.896,"20300617","SMA NEGERI 1 CILACAP","JAWA TENGAH","KAB. CILACAP","SMA"
210,21,548.874,"20409906","SMA KESATUAN BANGSA","DI YOGYAKARTA","KAB. BANTUL","SMA"
211,33,548.865,"20277085","MAS ZAKARIA","JAWA BARAT","KOTA BANDUNG","MA"
212,22,548.767,"20403375","MAN 1 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","MA"
213,29,548.767,"69727602","SMAS AL-IZZAH BATU","JAWA TIMUR","KOTA BATU","SMA"
214,34,548.662,"20229157","SMAS ISLAM TERPADU NURUL FIKRI","JAWA BARAT","KOTA DEPOK","SMA"
215,35,548.41,"20219791","SMAS YAHYA","JAWA BARAT","KOTA BANDUNG","SMA"
216,48,548.344,"20101620","SMAN 33 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
217,36,548.306,"20329847","SMAN 1 TEGAL","JAWA TENGAH","KOTA TEGAL","SMA"
218,36,548.295,"20224139","SMA NEGERI 2 CIMAHI","JAWA BARAT","KOTA CIMAHI","SMA"
219,37,548.226,"20311334","SMAN 1 WONOGIRI","JAWA TENGAH","KAB. WONOGIRI","SMA"
220,49,548.186,"20107249","SMAS BUDI MULIA JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
221,23,548.058,"20401127","SMAN 1 PAKEM","DI YOGYAKARTA","KAB. SLEMAN","SMA"
222,37,547.96,"20218351","SMAN 1 TAMBUN SELATAN","JAWA BARAT","KAB. BEKASI","SMA"
223,50,547.554,"20103203","SMAS DON BOSCO 2 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
224,38,547.523,"20309689","SMAN 2 KLATEN","JAWA TENGAH","KAB. KLATEN","SMA"
225,39,547.414,"20307641","SMAS TARUNA NUSANTARA","JAWA TENGAH","KAB. MAGELANG","SMA"
226,51,547.314,"20103278","SMAN 91 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
227,30,547.075,"20533653","SMAN 5","JAWA TIMUR","KOTA MALANG","SMA"
228,7,546.966,"69762788","SMAN 3 TARUTUNG","SUMATERA UTARA","KAB. TAPANULI UTARA","SMA"
229,40,546.897,"20330281","SMAN 1 GOMBONG","JAWA TENGAH","KAB. KEBUMEN","SMA"
230,31,546.836,"20525854","SMAN 1 GENTENG","JAWA TIMUR","KAB. BANYUWANGI","SMA"
231,41,546.835,"20354028","SMAN 1 SRAGEN","JAWA TENGAH","KAB. SRAGEN","SMA"
232,52,546.783,"20103292","SMAN 103 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
233,2,546.756,"30105064","SMAS KRISTEN IMMANUEL","KALIMANTAN BARAT","KOTA PONTIANAK","SMA"
234,42,546.723,"20328925","SMA KRISTEN YSKI","JAWA TENGAH","KOTA SEMARANG","SMA"
235,38,546.709,"20229172","SMAS PRIBADI BEJI","JAWA BARAT","KOTA DEPOK","SMA"
236,53,546.622,"20102563","SMAN 90 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
237,3,546.608,"11002197","SMAN 3 BATAM","KEPULAUAN RIAU","KOTA BATAM","SMA"
238,39,546.12,"20219312","SMAN 4 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
239,4,545.937,"10506129","SMAS BINA KASIH","JAMBI","KOTA JAMBI","SMA"
240,16,545.907,"20607991","SMA ISLAM NURUL FIKRI","BANTEN","KAB. SERANG","SMA"
241,17,545.664,"20616138","SMAS TARAKANITA CITRA RAYA","BANTEN","KAB. TANGERANG","SMA"
242,43,545.567,"20363082","MAN 2 KUDUS","JAWA TENGAH","KAB. KUDUS","MA"
243,40,545.552,"20238517","SMAN 5 BOGOR","JAWA BARAT","KOTA BOGOR","SMA"
244,54,545.484,"20103304","SMAN 67 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
245,5,545.464,"10502884","SMAN TITIAN TERAS","JAMBI","KAB. MUARO JAMBI","SMA"
246,41,545.398,"20253836","SMAS PRIBADI","JAWA BARAT","KOTA BANDUNG","SMA"
247,55,545.383,"20107277","SMAS AL IZHAR JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
248,44,545.211,"20321439","SMA NEGERI 2 TEMANGGUNG","JAWA TENGAH","KAB. TEMANGGUNG","SMA"
249,32,545.165,"20515430","SMAN 1 KEDUNGWARU","JAWA TIMUR","KAB. TULUNGAGUNG","SMA"
250,56,544.969,"20102231","SMAK TIRTAMARTA - BPK PENABUR","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
251,18,544.85,"20614004","SMAS MENTARI INTERCULTURAL SCHOOL BINTARO","BANTEN","KOTA TANGERANG SELATAN","SMA"
252,33,544.848,"20538326","SMAN 2 NGANJUK","JAWA TIMUR","KAB. NGANJUK","SMA"
253,45,544.841,"20303987","SMAN 1 BANJARNEGARA","JAWA TENGAH","KAB. BANJARNEGARA","SMA"
254,46,544.752,"20309680","SMAN 1 KARANGANOM","JAWA TENGAH","KAB. KLATEN","SMA"
255,3,544.621,"50103149","SMAS TAMAN RAMA","BALI","KOTA DENPASAR","SMA"
256,19,544.551,"20615183","SMAS KHARISMA BANGSA","BANTEN","KOTA TANGERANG SELATAN","SMA"
257,8,544.52,"10263742","MAS PERGURUAN ISLAM AR RISALAH","SUMATERA BARAT","KOTA PADANG","MA"
258,42,544.478,"20222365","SMAN 2 CIREBON","JAWA BARAT","KOTA CIREBON","SMA"
259,43,544.441,"20223045","SMAN 4 BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
260,44,544.425,"20238516","SMAN 2 BOGOR","JAWA BARAT","KOTA BOGOR","SMA"
261,45,544.079,"20223817","SMAN 3 KOTA DEPOK","JAWA BARAT","KOTA DEPOK","SMA"
262,24,543.976,"20400391","SMA NEGERI 1 JETIS","DI YOGYAKARTA","KAB. BANTUL","SMA"
263,57,543.928,"20103306","SMAN 62 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
264,4,543.902,"50103125","SMAN 3 DENPASAR","BALI","KOTA DENPASAR","SMA"
265,5,543.901,"10609651","SMA KUSUMA BANGSA PALEMBANG","SUMATERA SELATAN","KOTA PALEMBANG","SMA"
266,58,543.884,"20100216","SMAN 1 JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
267,46,543.772,"69775444","SMAS IT UMMUL QURO","JAWA BARAT","KOTA BOGOR","SMA"
268,9,543.346,"10307799","SMAN 3 BATU SANGKAR","SUMATERA BARAT","KAB. TANAH DATAR","SMA"
269,1,543.16,"40320336","SMAS ZION","SULAWESI SELATAN","KOTA MAKASSAR","SMA"
270,34,543.087,"20517739","SMAN 1 LAWANG","JAWA TIMUR","KAB. MALANG","SMA"
