"Ranking","Gap","NPSN","Sekolah","Nilai.Total","Provinsi","Kab.Kota","Jenis"
561,NA,69992187,"SMA AL WAFI IBS",529.263,"JAWA BARAT","KAB. BOGOR","SMA"
562,NA,10210856,"SMAN 3 MEDAN",529.189,"SUMATERA UTARA","KOTA MEDAN","SMA"
563,-268,20605093,"SMAN 1 KOTA SERANG",529.169,"BANTEN","KOTA SERANG","SMA"
564,NA,20534120,"SMAN 5 MADIUN",529.168,"JAWA TIMUR","KOTA MADIUN","SMA"
565,NA,11003325,"MAN BATAM",529.025,"KEPULAUAN RIAU","KOTA BATAM","MA"
566,NA,20100803,"SMAN 111 JAKARTA",528.984,"DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
567,NA,20623317,"MAN 1 KOTA TANGERANG SELATAN",528.947,"BANTEN","KOTA TANGERANG SELATAN","MA"
568,119,20223068,"SMAS PANGUDI LUHUR II",528.847,"JAWA BARAT","KOTA BEKASI","SMA"
569,-125,20318343,"SMA NEGERI 1 JEPARA",528.845,"JAWA TENGAH","KAB. JEPARA","SMA"
570,-60,60403474,"SMAS AVEROS",528.828,"PAPUA BARAT","KOTA SORONG","SMA"
571,-80,20504478,"SMAN 2 BOJONEGORO",528.807,"JAWA TIMUR","KAB. BOJONEGORO","SMA"
572,-103,20224511,"SMA NEGERI 1 TASIKMALAYA",528.805,"JAWA BARAT","KOTA TASIKMALAYA","SMA"
573,NA,20223067,"SMAS ISLAM PANGLIMA BESAR SOEDIRMAN",528.749,"JAWA BARAT","KOTA BEKASI","SMA"
574,54,20538394,"SMAN 1 KERTOSONO",528.729,"JAWA TIMUR","KAB. NGANJUK","SMA"
575,3,20540294,"SMA DARUL ULUM 2 UNGGULAN BPPT",528.692,"JAWA TIMUR","KAB. JOMBANG","SMA"
576,-16,69765014,"SMAS ALBANNA",528.682,"BALI","KOTA DENPASAR","SMA"
577,60,10307525,"SMAN 3 BUKITTINGGI",528.565,"SUMATERA BARAT","KOTA BUKITTINGGI","SMA"
578,2,20100210,"SMAN 5 JAKARTA",528.454,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
579,37,20402116,"SMAN 1 SEMIN",528.415,"DI YOGYAKARTA","KAB. GUNUNG KIDUL","SMA"
580,-14,69982590,"SMA AL WILDAN ISLAMIC SCHOOL",528.414,"BANTEN","KAB. TANGERANG","SMA"
581,356,20328911,"SMA NEGERI 12",528.396,"JAWA TENGAH","KOTA SEMARANG","SMA"
582,161,20327979,"SMAS MTA SURAKARTA",528.379,"JAWA TENGAH","KOTA SURAKARTA","SMA"
583,62,20327608,"SMKN 1 MAGELANG",528.348,"JAWA TENGAH","KOTA MAGELANG","SMK"
584,291,10609706,"SMA XAVERIUS 03 PALEMBANG",528.328,"SUMATERA SELATAN","KOTA PALEMBANG","SMA"
585,NA,20533610,"SMAS LABORATORIUM UM",528.26,"JAWA TIMUR","KOTA MALANG","SMA"
586,180,20177948,"MAS PEMBANGUNAN UIN",528.238,"DKI JAKARTA","KOTA JAKARTA SELATAN","MA"
587,-121,20229166,"SMAN 4 KOTA DEPOK",528.221,"JAWA BARAT","KOTA DEPOK","SMA"
588,-179,20317483,"SMAN 1 BAE KUDUS",528.121,"JAWA TENGAH","KAB. KUDUS","SMA"
589,57,20237987,"SMAN 1 CIKARANG PUSAT",528.091,"JAWA BARAT","KAB. BEKASI","SMA"
590,3,20314884,"SMAN 1 CEPU",528.064,"JAWA TENGAH","KAB. BLORA","SMA"
591,-85,20510147,"SMAN 2 PONOROGO",528.049,"JAWA TIMUR","KAB. PONOROGO","SMA"
592,-252,20509318,"SMAN 1 MAGETAN",528.047,"JAWA TIMUR","KAB. MAGETAN","SMA"
593,12,10303905,"SMAN 2 PAYAKUMBUH",527.984,"SUMATERA BARAT","KOTA PAYAKUMBUH","SMA"
594,329,20328866,"SMA NEGERI 08",527.919,"JAWA TENGAH","KOTA SEMARANG","SMA"
595,198,69980514,"MAN INSAN CENDEKIA KOTA PALU",527.91,"SULAWESI TENGAH","KOTA PALU","MA"
596,67,20219316,"SMAN 7 BANDUNG",527.907,"JAWA BARAT","KOTA BANDUNG","SMA"
597,NA,20219782,"SMA PGII 1",527.898,"JAWA BARAT","KOTA BANDUNG","SMA"
598,-306,20223045,"SMAN 4 BEKASI",527.853,"JAWA BARAT","KOTA BEKASI","SMA"
599,179,20503415,"SMA NEGERI 1 JOMBANG",527.841,"JAWA TIMUR","KAB. JOMBANG","SMA"
600,NA,20327566,"SMAN 5 MAGELANG",527.821,"JAWA TENGAH","KOTA MAGELANG","SMA"
601,-240,20327967,"SMAN 2 SURAKARTA",527.788,"JAWA TENGAH","KOTA SURAKARTA","SMA"
602,-84,20329508,"SMA Negeri 3 Pekalongan",527.775,"JAWA TENGAH","KOTA PEKALONGAN","SMA"
603,348,20220337,"SMAN 8 BOGOR",527.736,"JAWA BARAT","KOTA BOGOR","SMA"
604,38,20363001,"MAS WATHONIYAH ISLAMIYAH KARANGDUWUR",527.734,"JAWA TENGAH","KAB. KEBUMEN","MA"
605,NA,20328899,"SMA NEGERI 14",527.731,"JAWA TENGAH","KOTA SEMARANG","SMA"
606,-34,20312173,"SMAN KARANGPANDAN",527.715,"JAWA TENGAH","KAB. KARANGANYAR","SMA"
